"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"270",1996,"Skamania",1,0,5,0,NA,5,NA,83
"271",1996,"Snohomish",1,4,5,39,5,5,44,7921
"272",1996,"Spokane",1,5,5,29,5,5,29,5626
"273",1996,"Stevens",1,NA,5,NA,NA,5,NA,464
"274",1996,"Thurston",1,7,5,17,NA,5,NA,2436
"275",1996,"Wahkiakum",1,0,5,0,0,5,0,39
"276",1996,"Walla Walla",1,NA,5,NA,NA,5,10,781
"277",1996,"Whatcom",1,NA,5,NA,NA,5,NA,1910
"278",1996,"Whitman",1,0,5,0,NA,5,NA,428
"279",1996,"Yakima",1,7,5,30,6,5,25,4190
"280",1997,"State Total",1,5,5,460,5,5,440,78141
"281",1997,"Adams",1,NA,5,NA,NA,5,NA,292
"282",1997,"Asotin",1,0,5,0,NA,5,NA,284
"283",1997,"Benton",1,NA,5,11,NA,5,15,2025
"284",1997,"Chelan",1,NA,5,NA,NA,5,NA,979
"285",1997,"Clallam",1,NA,5,NA,NA,5,NA,646
"286",1997,"Clark",1,5,5,26,4,5,21,4947
"287",1997,"Columbia",1,0,5,0,0,5,0,40
"288",1997,"Cowlitz",1,NA,5,NA,NA,5,10,1173
"289",1997,"Douglas",1,NA,5,NA,0,5,0,436
"290",1997,"Ferry",1,NA,5,NA,NA,5,NA,75
"291",1997,"Franklin",1,NA,5,NA,NA,5,NA,972
"292",1997,"Garfield",1,NA,5,NA,0,5,0,13
"293",1997,"Grant",1,NA,5,NA,NA,5,NA,1387
"294",1997,"Grays Harbor",1,NA,5,NA,NA,5,NA,848
"295",1997,"Island",1,NA,5,NA,NA,5,NA,953
"296",1997,"Jefferson",1,NA,5,NA,NA,5,NA,214
"297",1997,"King",1,6,5,136,5,5,113,21646
"298",1997,"Kitsap",1,5,5,19,5,5,19,3252
"299",1997,"Kittitas",1,NA,5,NA,NA,5,NA,307
"300",1997,"Klickitat",1,NA,5,NA,NA,5,NA,236
"301",1997,"Lewis",1,NA,5,NA,NA,5,NA,878
"302",1997,"Lincoln",1,NA,5,NA,NA,5,NA,131
"303",1997,"Mason",1,NA,5,NA,NA,5,NA,521
"304",1997,"Okanogan",1,NA,5,NA,NA,5,NA,522
"305",1997,"Pacific",1,NA,5,NA,0,5,0,215
"306",1997,"Pend Oreille",1,NA,5,NA,0,5,0,124
"307",1997,"Pierce",1,5,5,52,6,5,61,9730
"308",1997,"San Juan",1,0,5,0,0,5,0,113
"309",1997,"Skagit",1,NA,5,NA,NA,5,NA,1336
"310",1997,"Skamania",1,0,5,0,0,5,0,91
"311",1997,"Snohomish",1,6,5,51,6,5,49,8110
"312",1997,"Spokane",1,5,5,28,6,5,35,5530
"313",1997,"Stevens",1,NA,5,NA,NA,5,NA,453
"314",1997,"Thurston",1,NA,5,15,NA,5,10,2422
"315",1997,"Wahkiakum",1,NA,5,NA,NA,5,NA,39
"316",1997,"Walla Walla",1,NA,5,NA,NA,5,NA,675
"317",1997,"Whatcom",1,NA,5,10,NA,5,NA,1945
"318",1997,"Whitman",1,0,5,0,NA,5,NA,392
"319",1997,"Yakima",1,6,5,25,6,5,28,4189
"320",1998,"State Total",1,5,5,469,5,5,452,79640
"321",1998,"Adams",1,0,5,0,NA,5,NA,332
"322",1998,"Asotin",1,NA,5,NA,NA,5,NA,280
"323",1998,"Benton",1,NA,5,11,NA,5,11,2053
"324",1998,"Chelan",1,NA,5,NA,NA,5,NA,1032
"325",1998,"Clallam",1,NA,5,NA,NA,5,NA,687
"326",1998,"Clark",1,5,5,27,5,5,30,5142
"327",1998,"Columbia",1,0,5,0,0,5,0,48
"328",1998,"Cowlitz",1,NA,5,NA,NA,5,NA,1195
"329",1998,"Douglas",1,NA,5,NA,NA,5,NA,445
"330",1998,"Ferry",1,NA,5,NA,NA,5,NA,78
"331",1998,"Franklin",1,NA,5,NA,NA,5,NA,1035
"332",1998,"Garfield",1,0,5,0,0,5,0,16
"333",1998,"Grant",1,NA,5,14,NA,5,NA,1334
"334",1998,"Grays Harbor",1,NA,5,NA,NA,5,NA,882
"335",1998,"Island",1,NA,5,NA,NA,5,NA,948
"336",1998,"Jefferson",1,0,5,0,0,5,0,207
"337",1998,"King",1,5,5,129,5,5,111,22212
"338",1998,"Kitsap",1,8,5,25,NA,5,12,3004
"339",1998,"Kittitas",1,NA,5,NA,NA,5,NA,374
"340",1998,"Klickitat",1,NA,5,NA,0,5,0,234
"341",1998,"Lewis",1,NA,5,NA,NA,5,NA,901
"342",1998,"Lincoln",1,NA,5,NA,NA,5,NA,110
"343",1998,"Mason",1,NA,5,NA,NA,5,NA,598
"344",1998,"Okanogan",1,NA,5,NA,NA,5,NA,545
"345",1998,"Pacific",1,NA,5,NA,0,5,0,211
"346",1998,"Pend Oreille",1,0,5,0,NA,5,NA,129
"347",1998,"Pierce",1,6,5,60,6,5,64,9780
"348",1998,"San Juan",1,NA,5,NA,0,5,0,101
"349",1998,"Skagit",1,NA,5,NA,NA,5,12,1367
"350",1998,"Skamania",1,0,5,0,0,5,0,104
