StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1994,,,Clark,,3.9,8.8,,1,4.6,5.7,20,6,6.2,26,4338
1994,,,Columbia,NR,,,**,1,0,5.7,0,,6.2,,46
1994,NR,**,Cowlitz,NR,,,,1,,5.7,,,6.2,10,1211
1994,NR,**,Douglas,NR,,,**,1,,5.7,,,6.2,,462
1994,NR,**,Ferry,NR,,,**,1,,5.7,,,6.2,,88
1994,NR,,Franklin,NR,,,**,1,,5.7,10,,6.2,,985
1994,,,Garfield,,,,,1,0,5.7,0,0,6.2,0,15
1994,,,Grant,NR,,,**,1,14.8,5.7,17,,6.2,,1149
1994,NR,**,Grays Harbor,NR,,,**,1,,5.7,,,6.2,,844
1994,NR,,Island,NR,,,**,1,,5.7,11,,6.2,,1023
1994,NR,**,Jefferson,NR,,,**,1,,5.7,,,6.2,,214
1994,,,King,,5.2,7.3,,1,5.6,5.7,124,6.2,6.2,136,22010
1994,NR,,Kitsap,,3,8.2,,1,,5.7,16,5.1,6.2,17,3323
1994,NR,**,Kittitas,NR,,,**,1,,5.7,,,6.2,,291
1994,,,Klickitat,NR,,,**,1,0,5.7,0,,6.2,,229
1994,NR,**,Lewis,NR,,,**,1,,5.7,,,6.2,,857
1994,NR,**,Lincoln,,,,,1,,5.7,,0,6.2,0,96
1994,NR,**,Mason,NR,,,**,1,,5.7,,,6.2,,544
1994,NR,**,Okanogan,NR,,,**,1,,5.7,,,6.2,,547
1994,NR,**,Pacific,NR,,,**,1,,5.7,,,6.2,,220
1994,,,Pend Oreille,NR,,,**,1,0,5.7,0,,6.2,,136
1994,,,Pierce,,5.3,8.7,,1,4.5,5.7,44,6.9,6.2,67,9763
1994,,,San Juan,,,,,1,0,5.7,0,0,6.2,0,106
1994,NR,**,Skagit,NR,,,**,1,,5.7,,,6.2,,1273
1994,NR,**,Skamania,NR,,,**,1,,5.7,,,6.2,,83
1994,,,Snohomish,,3.1,6.2,,1,4.3,5.7,34,4.5,6.2,35,7833
1994,,,Spokane,,4.8,9.5,,1,6.5,5.7,35,6.9,6.2,37,5379
1994,NR,**,Stevens,NR,,,**,1,,5.7,,,6.2,,443
1994,NR,,Thurston,NR,,,,1,,5.7,14,,6.2,13,2447
1994,,,Wahkiakum,,,,,1,0,5.7,0,0,6.2,0,38
1994,NR,,Walla Walla,NR,,,**,1,,5.7,11,,6.2,,698
1994,NR,,Whatcom,NR,,,**,1,,5.7,10,,6.2,,1920
1994,,,Whitman,NR,,,**,1,0,5.7,0,,6.2,,391
1994,,,Yakima,,4.4,9.5,,1,4.4,5.7,19,6.6,6.2,28,4273
1995,,,State Total,,5.3,6.4,,1,5.4,5.4,419,5.8,5.8,449,77240
1995,NR,**,Adams,NR,,,**,1,,5.4,,,5.8,,321
1995,NR,**,Asotin,NR,,,**,1,,5.4,,,5.8,,263
1995,NR,,Benton,NR,,,,1,,5.4,13,,5.8,12,1983
1995,NR,**,Chelan,,,,,1,,5.4,,0,5.8,0,953
1995,NR,**,Clallam,NR,,,**,1,,5.4,,,5.8,,660
1995,NR,,Clark,,2.9,7,,1,,5.4,13,4.6,5.8,21,4558
1995,NR,**,Columbia,NR,,,**,1,,5.4,,,5.8,,45
1995,NR,**,Cowlitz,NR,,,,1,,5.4,,,5.8,10,1222
1995,NR,**,Douglas,NR,,,**,1,,5.4,,,5.8,,441
1995,,,Ferry,,,,,1,0,5.4,0,0,5.8,0,81
1995,NR,**,Franklin,NR,,,**,1,,5.4,,,5.8,,1003
1995,,,Garfield,,,,,1,0,5.4,0,0,5.8,0,22
1995,NR,**,Grant,NR,,,**,1,,5.4,,,5.8,,1294
1995,NR,**,Grays Harbor,NR,,,**,1,,5.4,,,5.8,,864
1995,NR,**,Island,NR,,,,1,,5.4,,,5.8,10,939
1995,NR,**,Jefferson,NR,,,**,1,,5.4,,,5.8,,216
1995,,,King,,4.6,6.7,,1,5.6,5.4,122,5.6,5.8,122,21817
1995,NR,,Kitsap,NR,,,,1,,5.4,16,,5.8,13,3307
1995,NR,**,Kittitas,NR,,,**,1,,5.4,,,5.8,,327
1995,,,Klickitat,,,,,1,0,5.4,0,0,5.8,0,225
1995,NR,**,Lewis,NR,,,**,1,,5.4,,,5.8,,910
1995,NR,**,Lincoln,,,,,1,,5.4,,0,5.8,0,96
1995,,,Mason,NR,,,**,1,0,5.4,0,,5.8,,538
1995,NR,**,Okanogan,NR,,,**,1,,5.4,,,5.8,,574
1995,NR,**,Pacific,NR,,,**,1,,5.4,,,5.8,,215
1995,NR,**,Pend Oreille,NR,,,**,1,,5.4,,,5.8,,154
1995,,,Pierce,,5.1,8.5,,1,6.1,5.4,57,6.6,5.8,62,9400
1995,,,San Juan,,,,,1,0,5.4,0,0,5.8,0,104
1995,NR,**,Skagit,NR,,,**,1,,5.4,,,5.8,,1299
1995,,,Skamania,,,,,1,0,5.4,0,0,5.8,0,82
1995,,,Snohomish,,3.9,7.3,,1,6,5.4,46,5.4,5.8,41,7629
1995,,,Spokane,,5.8,10.7,,1,4.9,5.4,27,8,5.8,44,5503
1995,NR,**,Stevens,NR,,,**,1,,5.4,,,5.8,,453
1995,NR,,Thurston,NR,,,,1,,5.4,12,,5.8,12,2442
1995,NR,**,Wahkiakum,,,,,1,,5.4,,0,5.8,0,38
1995,NR,**,Walla Walla,NR,,,**,1,,5.4,,,5.8,,730
1995,NR,**,Whatcom,NR,,,,1,,5.4,,,5.8,10,1850
1995,NR,**,Whitman,,,,,1,,5.4,,0,5.8,0,458
1995,,,Yakima,,3.8,8.7,,1,5,5.4,21,5.9,5.8,25,4224
1996,,,State Total,,5.5,6.6,,1,5.9,5.9,460,6,5.5,467,77874
1996,NR,**,Adams,NR,,,**,1,,5.9,,,5.5,,293
1996,NR,**,Asotin,NR,,,**,1,,5.9,,,5.5,,241
1996,NR,,Benton,NR,,,,1,,5.9,15,,5.5,13,2003
1996,NR,**,Chelan,NR,,,**,1,,5.9,,,5.5,,986
1996,NR,**,Clallam,NR,,,**,1,,5.9,,,5.5,,640
1996,,,Clark,,4.3,9.1,,1,5.5,5.9,26,6.4,5.5,30,4726
1996,NR,**,Columbia,,,,,1,,5.9,,0,5.5,0,50
1996,NR,**,Cowlitz,NR,,,**,1,,5.9,,,5.5,,1249
1996,NR,**,Douglas,NR,,,**,1,,5.9,,,5.5,,458
1996,NR,**,Ferry,NR,,,**,1,,5.9,,,5.5,,81
1996,NR,**,Franklin,NR,,,**,1,,5.9,,,5.5,,1059
1996,,,Garfield,,,,,1,0,5.9,0,0,5.5,0,22
